Sala: 101 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
18:50:00 - 19:35:00 , , , Cálculo Diferencial , Fundamentos De Contabilidade , Probabilidade E Estatística A , Cálculo Diferencial , Empreendedorismo 
19:35:00 - 20:20:00 , , , Cálculo Diferencial , Fundamentos De Contabilidade , Probabilidade E Estatística A , Cálculo Diferencial , Empreendedorismo 
20:30:00 - 21:15:00 , , , Didática Da Matemática I , Projetos De Software , Didática Da Matemática I , Fundamentos De Contabilidade , Sociologia Das Organizações 
21:15:00 - 22:00:00 , , , Didática Da Matemática I , Projetos De Software , Didática Da Matemática I , Fundamentos De Contabilidade , Sociologia Das Organizações 
Sala: 306 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Química Inorgânica , Ecologia Do Cerrado , Produção De Texto Jornalístico I , Tópicos Contemporâneos: Mídias Digitais , Fundamentos Filosófico E Sócio-Histór. Da Educação 
08:50:00 - 09:40:00 , , , Química Inorgânica , Ecologia Do Cerrado , Produção De Texto Jornalístico I , Tópicos Contemporâneos: Mídias Digitais , Fundamentos Filosófico E Sócio-Histór. Da Educação 
10:00:00 - 10:50:00 , , , Teoria Política I , Ecologia Do Cerrado , Produção De Texto Jornalístico I , Tópicos Contemporâneos: Mídias Digitais , Filosofia Da Linguagem 
10:50:00 - 11:40:00 , , , Teoria Política I , Ecologia Do Cerrado , Produção De Texto Jornalístico I , Tópicos Contemporâneos: Mídias Digitais , Filosofia Da Linguagem 
11:40:00 - 12:30:00 , , , , , Ecofisiologia Vegetal , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Fundamentos Teórico-Práticos Do Sistema Único De Saúde , Ecofisiologia Vegetal , Biologia Da Conservação , Cálculo 3a , Ecologia Do Cerrado 
14:50:00 - 15:40:00 , , , Fundamentos Teórico-Práticos Do Sistema Único De Saúde , Ecofisiologia Vegetal , Biologia Da Conservação , Cálculo 3a , Ecologia Do Cerrado 
16:00:00 - 16:50:00 , , , Ecofisiologia Vegetal , Operações Unitárias 1 , Biologia Da Conservação , Operações Unitárias 1 , Ecologia Do Cerrado 
16:50:00 - 17:40:00 , , , Ecofisiologia Vegetal , Operações Unitárias 1 , , Operações Unitárias 1 , Ecologia Do Cerrado 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , Introdução À Arquitetura I , , Introdução À Arquitetura I , 
18:50:00 - 19:35:00 , , , História Dos Museus , Tópicos De Museologia Ii , Filosofia Da Linguagem , Fundamentos Filosófico E Sócio-Histór. Da Educação , História Dos Museus 
19:35:00 - 20:20:00 , , , História Dos Museus , Tópicos De Museologia Ii , Filosofia Da Linguagem , Fundamentos Filosófico E Sócio-Histór. Da Educação , História Dos Museus 
20:30:00 - 21:15:00 , , , História Dos Museus , Tópicos De Museologia Ii , Filosofia Da Linguagem , , História Dos Museus 
21:15:00 - 22:00:00 , , , História Dos Museus , Tópicos De Museologia Ii , Filosofia Da Linguagem , , História Dos Museus 
Sala: 307 , Prédio: CAB , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Biofísica , Estatística Econômica E Introdução À Econometria , Princípios De Economia , Genética E Evolução , Psicologia Da Educação Ii 
08:50:00 - 09:40:00 , , , Biofísica , Estatística Econômica E Introdução À Econometria , Princípios De Economia , Genética E Evolução , Psicologia Da Educação Ii 
10:00:00 - 10:50:00 , , , Visualização De Informações , Eletrônica Para Computação , Bioquímica De Biomoléculas , Princípios De Economia , Psicologia Da Educação Ii 
10:50:00 - 11:40:00 , , , Visualização De Informações , Eletrônica Para Computação , Bioquímica De Biomoléculas , Princípios De Economia , Psicologia Da Educação Ii 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Prática De Ensino Orientada , Engenharia Bioquímica , Genética Molecular , Engenharia Bioquímica , 
14:50:00 - 15:40:00 , , , Prática De Ensino Orientada , Engenharia Bioquímica , Genética Molecular , Engenharia Bioquímica , 
16:00:00 - 16:50:00 , , , Sistemas Distribuídos , História Da Matemática , Prática De Ensino Orientada , História Da Matemática , 
16:50:00 - 17:40:00 , , , Sistemas Distribuídos , História Da Matemática , Prática De Ensino Orientada , História Da Matemática , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Princípios De Economia , Finanças I , Prática De Ensino Orientada , Álgebra Linear , Tópicos De Sociologia I 
19:35:00 - 20:20:00 , , , Princípios De Economia , Finanças I , Prática De Ensino Orientada , Álgebra Linear , Tópicos De Sociologia I 
20:30:00 - 21:15:00 , , , Modelagem De Software , Princípios De Economia , História Da Matemática , Didática Da Matemática I , Tópicos De Sociologia I 
21:15:00 - 22:00:00 , , , Modelagem De Software , Princípios De Economia , História Da Matemática , Didática Da Matemática I , Tópicos De Sociologia I 
Sala: 308 , Prédio: CAB , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Corpo Humano Saudável I , , Corpo Humano Saudável I , Corpo Humano Saudável I , 
08:50:00 - 09:40:00 , , , Corpo Humano Saudável I , , Corpo Humano Saudável I , Corpo Humano Saudável I , 
10:00:00 - 10:50:00 , , , Biofísica , , , Físico-Química , 
10:50:00 - 11:40:00 , , , Biofísica , , , Físico-Química , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , Prática De Ensino Orientada 
14:50:00 - 15:40:00 , , , , , , , Prática De Ensino Orientada 
16:00:00 - 16:50:00 , , , , , , , Prática De Ensino Orientada 
16:50:00 - 17:40:00 , , , , , , , Prática De Ensino Orientada 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Software Concorrente E Distribuído , Prática De Ensino Orientada , História Da Matemática , Desenvolvimento De Software Para Persistência , Prática De Ensino Orientada 
19:35:00 - 20:20:00 , , , Software Concorrente E Distribuído , Prática De Ensino Orientada , História Da Matemática , Desenvolvimento De Software Para Persistência , Prática De Ensino Orientada 
20:30:00 - 21:15:00 , , , Software Concorrente E Distribuído , Modelagem De Software , Direito Trabalhista E Previdenciário , Princípios De Economia , Prática De Ensino Orientada 
21:15:00 - 22:00:00 , , , Cálculo 2a , Cálculo 2a , Pesquisa Operacional , Cálculo 2a , Prática De Ensino Orientada 
Sala: 309 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Fisiologia Humana , Mecânica Clássica Ii , Química Inorgânica , Mecânica Clássica Ii , Filosofia Da Linguagem 
08:50:00 - 09:40:00 , , , Fisiologia Humana , Mecânica Clássica Ii , Química Inorgânica , Mecânica Clássica Ii , Filosofia Da Linguagem 
10:00:00 - 10:50:00 , , , Química Inorgânica , Físico-Química 4 , Tópicos Contemporâneos: Mídias Digitais , Fundamentos Teórico-Práticos Do Sistema Único De Saúde , Tópicos Contemporâneos: Mídias Digitais 
10:50:00 - 11:40:00 , , , Química Inorgânica , Físico-Química 4 , Tópicos Contemporâneos: Mídias Digitais , Fundamentos Teórico-Práticos Do Sistema Único De Saúde , Tópicos Contemporâneos: Mídias Digitais 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Ecofisiologia Vegetal , Física Aplicada À Biologia , Mecânica Clássica Ii , Ecofisiologia Vegetal , 
14:50:00 - 15:40:00 , , , Ecofisiologia Vegetal , Física Aplicada À Biologia , Mecânica Clássica Ii , Ecofisiologia Vegetal , 
16:00:00 - 16:50:00 , , , Física Aplicada À Biologia , Ecofisiologia Vegetal , , Ecofisiologia Vegetal , 
16:50:00 - 17:40:00 , , , , Ecofisiologia Vegetal , , Ecofisiologia Vegetal , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Fundamentos Filosófico E Sócio-Histór. Da Educação , , Físico-Química 2 , 
19:35:00 - 20:20:00 , , , , Fundamentos Filosófico E Sócio-Histór. Da Educação , , Físico-Química 2 , 
20:30:00 - 21:15:00 , , , , Física Aplicada À Biologia , , , 
21:15:00 - 22:00:00 , , , , Física Aplicada À Biologia , , , 
Sala: 310 , Prédio: CAB , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , Demografia Econômica , 
08:50:00 - 09:40:00 , , , , , , Demografia Econômica , 
10:00:00 - 10:50:00 , , , Elaboração E Análise De Projetos , , , Educação Para Relações Étnicas Raciais E Para Os Direitos Humanos , 
10:50:00 - 11:40:00 , , , Elaboração E Análise De Projetos , , , Educação Para Relações Étnicas Raciais E Para Os Direitos Humanos , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , Fisiologia Humana , , , 
14:50:00 - 15:40:00 , , , , Fisiologia Humana , , , 
16:00:00 - 16:50:00 , , , Prática De Ensino Orientada , , , , História Da Matemática 
16:50:00 - 17:40:00 , , , Prática De Ensino Orientada , , , , História Da Matemática 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Prática De Ensino Orientada , Modelagem De Software , Software Concorrente E Distribuído , Finanças I , Finanças I 
19:35:00 - 20:20:00 , , , Prática De Ensino Orientada , Modelagem De Software , Software Concorrente E Distribuído , Finanças I , Finanças I 
20:30:00 - 21:15:00 , , , Princípios De Economia , Educação Para Relações Étnicas Raciais E Para Os Direitos Humanos , Prática De Ensino Orientada , Educação Para Relações Étnicas Raciais E Para Os Direitos Humanos , História Da Matemática 
21:15:00 - 22:00:00 , , , Princípios De Economia , Educação Para Relações Étnicas Raciais E Para Os Direitos Humanos , Prática De Ensino Orientada , Educação Para Relações Étnicas Raciais E Para Os Direitos Humanos , História Da Matemática 
Sala: 301 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , Tópicos Especiais Em Psicopatologia , , 
08:00:00 - 08:50:00 , , , Geografia Agrária I , Planejamento E Controle De Obras , Tópicos Especiais Em Psicopatologia , Química Ambiental Aplicada À Farmácia , Método Clínico Iii 
08:50:00 - 09:40:00 , , , Introdução Aos Estudos Sobre Envelhecimento , Planejamento E Controle De Obras , Tópicos Especiais Em Psicopatologia , Química Ambiental Aplicada À Farmácia , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
10:00:00 - 10:50:00 , , , Introdução Aos Estudos Sobre Envelhecimento , Nutrição Materno-Infantil E Do Adolescente Ii , Tópicos Especiais Em Psicopatologia , Bacteriologia Humana , Determinantes Biológicos No Processo Saúde - Doença I 
10:50:00 - 11:40:00 , , , Geografia Agrária I , Nutrição Materno-Infantil E Do Adolescente Ii , Teorias Da Arquitetura , Geografia Agrária I , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
11:40:00 - 12:30:00 , , , Química Ambiental Aplicada À Farmácia , , Métodos Matemáticos Lineares , , 
13:10:00 - 14:00:00 , , , , , , Bacteriologia Humana , Educação Nutricional I 
14:00:00 - 14:50:00 , , , Educação Nutricional Ii , Biologia Parasitária , Educação Nutricional Ii , Imunologia Básica , Psicologia Da Educação Ii 
14:50:00 - 15:40:00 , , , Educação Nutricional Ii , Biologia Parasitária , Educação Nutricional Ii , Imunologia Básica , Psicologia Da Educação Ii 
16:00:00 - 16:50:00 , , , Educação Nutricional Ii , Imunologia Básica , Epidemiologia , Bacteriologia Humana , Epidemiologia 
16:50:00 - 17:40:00 , , , Educação Nutricional Ii , Imunologia Básica , Epidemiologia , Imunologia Básica , Epidemiologia 
17:40:00 - 18:30:00 , , , , , , Educação Nutricional I , 
18:05:00 - 18:50:00 , , , Teorias Da Arquitetura , Teorias Da Arquitetura , Imunologia Básica , Tópicos Especiais Em Teoria E Estética Da Arquitetura E Da Arte , Imunologia Básica 
18:50:00 - 19:35:00 , , , Tópicos Em Geologia 1 , Teorias Da Arquitetura , A Morte E O Morrer Em Debate: Temas Atuais , Fundamentos Da Educação No Cinema , Imunologia Básica 
19:35:00 - 20:20:00 , , , Tópicos Em Geologia 1 , Imunologia Básica , A Morte E O Morrer Em Debate: Temas Atuais , Fundamentos Da Educação No Cinema , Imunologia Básica 
20:30:00 - 21:15:00 , , , Tópicos Em Geologia 1 , Imunologia Básica , A Morte E O Morrer Em Debate: Temas Atuais , Fundamentos Da Educação No Cinema , Imunologia Básica 
21:15:00 - 22:00:00 , , , Tópicos Em Geologia 1 , , A Morte E O Morrer Em Debate: Temas Atuais , Fundamentos Da Educação No Cinema , 
Sala: 302-Lab. , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Método Clínico Iii , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Método Clínico Iii 
08:00:00 - 08:50:00 , , , Bacteriologia Humana , Virologia Em Saúde , Teorias Da Arquitetura , Bacteriologia Humana , Corpo Humano Saudável I 
08:50:00 - 09:40:00 , , , Bacteriologia Humana , Virologia Em Saúde , Teorias Da Arquitetura , Bacteriologia Humana , Corpo Humano Saudável I 
10:00:00 - 10:50:00 , , , , Gestalt E Grupos , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Bacteriologia Humana , Corpo Humano Saudável I 
10:50:00 - 11:40:00 , , , , Gestalt E Grupos , Psiquiatria Clínica E Psicopatologia 1 , Neuropsicologia , Corpo Humano Saudável I 
11:40:00 - 12:30:00 , , , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Psiquiatria Clínica E Psicopatologia 1 , Neuropsicologia , Química Ambiental Aplicada À Farmácia 
13:10:00 - 14:00:00 , , , , , , , Atenção Integral À Saúde Da Mulher E Da Criança I 
14:00:00 - 14:50:00 , , , Bases Da Biotecnologia , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Educação Nutricional Ii , Corpo Humano Saudável I 
14:50:00 - 15:40:00 , , , Bases Da Biotecnologia , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Educação Nutricional Ii , Corpo Humano Saudável I 
16:00:00 - 16:50:00 , , , Seminários Em Imunologia E Virologia , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Virologia Em Saúde , Corpo Humano Saudável I 
16:50:00 - 17:40:00 , , , Seminários Em Imunologia E Virologia , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Virologia Em Saúde , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , Dibujo Del Paisaje Urbano , , , , 
18:50:00 - 19:35:00 , , , Trabalho De Conclusão De Curso I , Astrobiologia , , , 
19:35:00 - 20:20:00 , , , Assessoria E Consultoria Em Comunicação , Astrobiologia , , , 
20:30:00 - 21:15:00 , , , Assessoria E Consultoria Em Comunicação , Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii , , , 
21:15:00 - 22:00:00 , , , Assessoria E Consultoria Em Comunicação , Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii , , , 
Sala: 303 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Políticas Educacionais , Imunologia Básica , Biologia Parasitária , Bacteriologia Humana , Método Clínico Iii 
08:50:00 - 09:40:00 , , , Geografia Agrária I , Imunologia Básica , Biologia Parasitária , Bacteriologia Humana , Tópicos Especiais Em Psicopatologia 
10:00:00 - 10:50:00 , , , Geografia Agrária I , Biologia Parasitária , Teorias Da Arquitetura , Imunologia Básica , Bacteriologia Humana 
10:50:00 - 11:40:00 , , , Políticas Educacionais , Biologia Parasitária , Biologia Parasitária , Métodos Analíticos Em Biomedicina , Método Clínico Iii 
11:40:00 - 12:30:00 , , , Métodos Matemáticos Lineares , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Educação Nutricional I , Educação Nutricional Ii , Imunologia Básica , Bacteriologia Humana , Fundamentos Filosófico E Sócio-Histór. Da Educação 
14:50:00 - 15:40:00 , , , Educação Nutricional I , Educação Nutricional Ii , Imunologia Básica , Bacteriologia Humana , Fundamentos Filosófico E Sócio-Histór. Da Educação 
16:00:00 - 16:50:00 , , , Educação Nutricional I , Educação Nutricional Ii , Imunologia Básica , Imunologia Básica , Psicologia Da Educação Ii 
16:50:00 - 17:40:00 , , , Educação Nutricional I , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Imunologia Básica , Epidemiologia , Psicologia Da Educação Ii 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , Sistemas Estruturais Na Arquitetura Ii , Imunologia Básica , , Imunologia Básica , 
18:50:00 - 19:35:00 , , , Geografia Agrária I , Imunologia Básica , Espaços Museais E Arquitetura De Museus , Trabalho De Conclusão De Curso I , 
19:35:00 - 20:20:00 , , , Geografia Agrária I , , Espaços Museais E Arquitetura De Museus , Trabalho De Conclusão De Curso I , 
20:30:00 - 21:15:00 , , , Geografia Agrária I , , Espaços Museais E Arquitetura De Museus , Trabalho De Conclusão De Curso I , 
21:15:00 - 22:00:00 , , , Geografia Agrária I , , Espaços Museais E Arquitetura De Museus , Trabalho De Conclusão De Curso I , 
Sala: 304 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , Microbiologia 
08:50:00 - 09:40:00 , , , Imunologia Básica , Parasitologia Veterinária , , , Microbiologia 
10:00:00 - 10:50:00 , , , Parasitologia Veterinária , Imunologia , Parasitologia Veterinária , , Microbiologia 
10:50:00 - 11:40:00 , , , Parasitologia Veterinária , , Parasitologia Veterinária , , 
11:40:00 - 12:30:00 , , , Parasitologia Veterinária , , Parasitologia Veterinária , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Físico-Química , , Microbiologia , , 
14:50:00 - 15:40:00 , , , Físico-Química , , Microbiologia , , 
16:00:00 - 16:50:00 , , , Saúde, Família E Comunidade Iii , Microbiologia , Microbiologia , , 
16:50:00 - 17:40:00 , , , , Microbiologia , Microbiologia , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 305 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Determinantes Biológicos No Processo Saúde - Doença I , Bacteriologia Humana , Parasitologia Veterinária , Bacteriologia Humana , Bacteriologia Humana 
08:50:00 - 09:40:00 , , , Determinantes Biológicos No Processo Saúde - Doença I , Bacteriologia Humana , Parasitologia Veterinária , Bacteriologia Humana , Bacteriologia Humana 
10:00:00 - 10:50:00 , , , Biologia Molecular , Toxicologia Geral , Sistemas De Controle , Farmacologia I , Fisiologia Humana E Biofísica 
10:50:00 - 11:40:00 , , , Imunologia , Toxicologia Geral , Métodos Matemáticos Lineares , Farmacologia I , Fisiologia Humana E Biofísica 
11:40:00 - 12:30:00 , , , , Toxicologia Geral , , Farmacologia I , 
13:10:00 - 14:00:00 , , , Método Clínico Iii , Método Clínico Iii , Determinantes Biológicos No Processo Saúde - Doença I , , 
14:00:00 - 14:50:00 , , , Farmacologia Aplicada A Enfermagem , Determinantes Biológicos No Processo Saúde - Doença I , Determinantes Biológicos No Processo Saúde - Doença I , Patologia Geral , Introdução Aos Métodos Instrumentais De Análise 
14:50:00 - 15:40:00 , , , Farmacologia Aplicada A Enfermagem , Determinantes Biológicos No Processo Saúde - Doença I , Determinantes Biológicos No Processo Saúde - Doença I , Patologia Geral , Introdução Aos Métodos Instrumentais De Análise 
16:00:00 - 16:50:00 , , , Farmacologia Aplicada A Enfermagem , Saúde, Família E Comunidade Iii , Determinantes Biológicos No Processo Saúde - Doença I , Patologia Geral , Introdução Aos Métodos Instrumentais De Análise 
16:50:00 - 17:40:00 , , , Saúde, Família E Comunidade Iii , Epidemiologia , Determinantes Biológicos No Processo Saúde - Doença I , Química Geral B , Introdução Aos Métodos Instrumentais De Análise 
17:40:00 - 18:30:00 , , , , Química Geral B , , Química Geral B , 
18:05:00 - 18:50:00 , , , , Monografia Jurídica I (Projeto) , , , 
18:50:00 - 19:35:00 , , , Fundamentos Filosófico E Sócio-Histór. Da Educação , Monografia Jurídica I (Projeto) , , , Fundamentos Filosófico E Sócio-Histór. Da Educação 
19:35:00 - 20:20:00 , , , Fundamentos Filosófico E Sócio-Histór. Da Educação , , , , Fundamentos Filosófico E Sócio-Histór. Da Educação 
20:30:00 - 21:15:00 , , , Fundamentos Filosófico E Sócio-Histór. Da Educação , , , , Fundamentos Filosófico E Sócio-Histór. Da Educação 
21:15:00 - 22:00:00 , , , Fundamentos Filosófico E Sócio-Histór. Da Educação , , , , Fundamentos Filosófico E Sócio-Histór. Da Educação 
Sala: 306 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , Biologia Molecular , , , , 
10:00:00 - 10:50:00 , , , Imunologia , Parasitologia Veterinária , , , Biologia Molecular 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Patologia Geral , , , , 
14:50:00 - 15:40:00 , , , Patologia Geral , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 307 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , Saúde, Família E Comunidade Iii , , , 
08:50:00 - 09:40:00 , , , Desenho , Saúde, Família E Comunidade Iii , Desenho , Desenho I , Desenho I 
10:00:00 - 10:50:00 , , , Desenho , Saúde, Família E Comunidade Iii , Desenho , Desenho I , Desenho I 
10:50:00 - 11:40:00 , , , Desenho , Saúde, Família E Comunidade Iii , Desenho , Desenho I , Desenho I 
11:40:00 - 12:30:00 , , , Desenho , , Desenho , Desenho I , Desenho I 
13:10:00 - 14:00:00 , , , Desenho Técnico Mecânico , Química Geral B , Desenho Técnico Mecânico , , Saúde, Família E Comunidade Iii 
14:00:00 - 14:50:00 , , , Desenho Técnico Mecânico , Química Geral B , Desenho Técnico Mecânico , , Saúde, Família E Comunidade Iii 
14:50:00 - 15:40:00 , , , Desenho Técnico Mecânico , Química Geral B , Desenho Técnico Mecânico , , Desenho Ii 
16:00:00 - 16:50:00 , , , Desenho Técnico Mecânico , Química Geral B , Desenho Técnico Mecânico , , Desenho Ii 
16:50:00 - 17:40:00 , , , Química Geral B , , , , Desenho Ii 
17:40:00 - 18:30:00 , , , , , , , Desenho Ii 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , Teorias Do Objeto E Estudos De Cultura Material , Teorias Do Objeto E Estudos De Cultura Material , Teorias Do Objeto E Estudos De Cultura Material 
19:35:00 - 20:20:00 , , , , , Teorias Do Objeto E Estudos De Cultura Material , Teorias Do Objeto E Estudos De Cultura Material , Teorias Do Objeto E Estudos De Cultura Material 
20:30:00 - 21:15:00 , , , , , Teorias Do Objeto E Estudos De Cultura Material , Teorias Do Objeto E Estudos De Cultura Material , Teorias Do Objeto E Estudos De Cultura Material 
21:15:00 - 22:00:00 , , , , , Teorias Do Objeto E Estudos De Cultura Material , Teorias Do Objeto E Estudos De Cultura Material , Teorias Do Objeto E Estudos De Cultura Material 
Sala: 308 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Fundamentos Filosófico E Sócio-Histór. Da Educação , Promoção Da Saúde I , Bacteriologia Humana , Imunologia Básica , Tópicos Especiais Em Psicopatologia 
08:50:00 - 09:40:00 , , , Políticas Educacionais , Promoção Da Saúde I , Bacteriologia Humana , Imunologia Básica , Epidemiologia 
10:00:00 - 10:50:00 , , , Políticas Educacionais , Atenção Integral À Saúde Da Mulher E Da Criança I , Biologia Parasitária , Geografia Agrária I , Tópicos Especiais Em Psicopatologia 
10:50:00 - 11:40:00 , , , Educação Nutricional Ii , Patologia Geral , Métodos Analíticos Em Biomedicina , , Tópicos Especiais Em Psicopatologia 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Parasitologia Veterinária , Imunologia Básica , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Epidemiologia , Educação Nutricional I 
14:50:00 - 15:40:00 , , , Parasitologia Veterinária , Imunologia Básica , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Epidemiologia , Métodos Analíticos Em Biomedicina 
16:00:00 - 16:50:00 , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Epidemiologia , , Epidemiologia , Fundamentos Filosófico E Sócio-Histór. Da Educação 
